Past
Level 1
Babaroque	cYsmix	6.5
Bookmaker (2D Version)	Kobaryo	6.5
Corruption	3R2	6.5
Empire of Winter	Street	6.5
Garakuta Doll Play	t+pazolite	6.5
GOODTEK (Arcaea Edit)	EBIMAYO	6.5
Ignotus	ak+q	6.5
Lethaeus	Silentroom	6.5
Linear Accelerator	THE SHAFT	6.5
Lumia	sky_delta	6.5
OMAKENO Stroke	t+pazolite	6.5
Quon	Feryquitous	6.5
Reinvent	Sound Souler	6.5
Relentless	Akira Complex	6.5
SOUNDWiTCH	HATE	6.5
Specta	Junk	6.5
STAGER (ALL STAGE CLEAR)	Ras	6.5
Surrender	void	6.5
Syro	Mitomoro	6.5
The Message	Jun Kuroda	6.5
Vindication	Laur	6.5
Your voice so... feat. Such	PSYQUI	6.5
Nhelv	Silentroom	7.0
Level 7
Fallensquare	Silentroom	6.5
Blaster	Massive New Krew	7.0
Essence of Twilight	ak+q	7.0
FREEF4LL	YUKIYANAGI	7.0
Scarlet Lance	MASAKI (ZUNTATA)	7.0
VECTOЯ	WHITEFISTS	7.0
Astral tale	Noah	7.1
Black Territory	DJ Myosuke	7.1
Evoltex (poppi'n mix)	Arch vs n3pu	7.1
Iconoclast	Yamajet	7.1
Metallic Punisher	INNOCENT NOIZE	7.1
next to you	uma feat. 橘花音	7.1
cyanine	jioyi	7.2
Cybernecia Catharsis	Tanchiky	7.2
Solitary Dream	ak+q feat. Sennzai	7.2
Yosakura Fubuki	A.SAKA	7.2
A Wandering Melody of Love	からとP⍺ոchii少年 feat.はるの	7.3
Alexandrite	WAiKURO	7.3
Dreadnought	Mastermind (xi + nora2r)	7.3
Lost Civilization	Laur vs CK	7.3
Mirzam	Aoi vs. siqlo	7.3
Vicious Heroism	Kobaryo	7.3
αterlβus	Aoi	7.3
Filament	Puru	7.4
GLORY：ROAD	uma vs. モリモリあつし	7.4
Heavensdoor	LeaF	7.4
Modelista	HiTECH NINJA	7.4
Monochrome Princess	polysha	7.4
ouroboros -twin stroke of the end-	Cranky VS MASAKI	7.4
qualia -ideaesthesia-	nitro	7.4
γuarδina	Aoi	7.4
Be There	PSYQUI	7.5
Chronostasis	黒皇帝	7.5
DataErr0r	Lunatic Sounds	7.5
Heavenly caress	Noah	7.5
Illegal Paradise	gmtn. (witch's slave)	7.5
Nirv lucE	しーけー	7.5
Singularity	ETIA.	7.5
Valhalla:0	Juggernaut.	7.5
carmine:scythe	かゆき	7.6
conflict	siromaru + cranky	7.6
CROSS†SOUL	HyuN feat. Syepias	7.6
Dreamin' Attraction!!	翡乃イスカ	7.6
Party Vinyl	モリモリあつし	7.6
Ikazuchi	光吉猛修	7.7
Red and Blue	Silentroom	7.7
Tiferet	xi + Sta	7.7
Sheriruth	Team Grimoire	7.8
Level 8
Cyaegha	USAO	8.1
Ether Strike	Akira Complex	8.2
PRAGMATISM	Laur	8.2
Axium Crisis	ak+q	8.3
Halcyon	xi	8.5
Ringed Genesis	Edelritter	8.5
Level 9
Grievous Lady	Team Grimoire vs Laur	9.1
Fracture Ray	Sakuzyo	9.2
dropdead	Frums	9.5

Future
Level 6
Sayonara Hatsukoi	REDSHiFT	6.5
Level 7
Fairytale	chitose	7.2
Romance Wars	U-ske (feat. lueur)	7.4
Vexaria	ak+q	7.4
Clotho and the stargazer	しーけー	7.5
Dream goes on	Tiny Minim	7.5
Blossoms	T2Kazuya	7.6
Infinity Heaven	HyuN	7.6
Moonlight of Sand Castle	旅人E	7.7
Rise	Combatplayer	7.7
Suomi	Aire	7.7
inkar-usi	DIA	7.8
Paradise	Sound Souler	7.8
Brand new world	U-ske	7.9
Dement ~after legend~	Lunatic Sounds	7.9
Level 8
One Last Drive	REDSHiFT	8.0
Relentless	Akira Complex	8.1
Diode	Kolaa	8.2
Hall of Mirrors	Sta	8.2
I've heard it said	Combatplayer	8.2
Bookmaker (2D Version)	Kobaryo	8.3
Hikari	THB	8.3
Lucifer	chitose	8.3
Genesis	Iris	8.4
Purgatorium	お月さま交響曲	8.4
Shades of Light in a Transcendent Realm	ak+q	8.4
Silent Rush	Soleily	8.4
Solitary Dream	ak+q feat. Sennzai	8.4
Tie me down gently	溝口ゆうま feat. 大瀬良あい	8.4
Flashback	ARForest	8.5
Lumia	sky_delta	8.5
MERLIN	REDALiCE	8.5
Moonheart	翡乃イスカ	8.5
Rabbit In The Black Room	Rabbit House	8.5
Chelsea	7mai	8.6
Dandelion	Farhan	8.6
Grimheart	Puru	8.6
Harutopia ~Utopia of Spring~	A-zu-ra	8.6
Journey	ARForest	8.6
Reinvent	Sound Souler	8.6
Snow White	Puru	8.6
Babaroque	cYsmix	8.7
cry of viyella	Laur	8.7
Dot to Dot feat. shully	Mameyudoufu	8.7
FREEF4LL	YUKIYANAGI	8.7
next to you	uma feat. 橘花音	8.7
REconstruction	Ryazan	8.7
Antithese	Blacklolita	8.8
Call My Name feat. Yukacco	Mameyudoufu	8.8
memoryfactory.lzh	Frums	8.8
Particle Arts	Virtual Self	8.8
Senkyou	MYTK	8.8
Surrender	void	8.8
Evoltex (poppi'n mix)	Arch vs n3pu	8.9
Maze No.9	アリスシャッハと魔法の楽団	8.9
ReviXy	ikaruga_nex	8.9
dropdead	Frums	9.1
Level 9
Empire of Winter	Street	9.0
Essence of Twilight	ak+q	9.0
Kanagawa Cyber Culvert	南ゆに	9.0
Rugie	Feryquitous feat.Sennzai	9.0
Chronostasis	黒皇帝	9.1
Strongholds	Yooh	9.1
Anökumene	Jun Kuroda	9.2
Flyburg and Endroll	アリスシャッハと魔法の楽団	9.2
Libertas	Zekk	9.2
Phantasia	Yunosuke	9.2
qualia -ideaesthesia-	nitro	9.2
STAGER (ALL STAGE CLEAR)	Ras	9.2
GOODTEK (Arcaea Edit)	EBIMAYO	9.3
Oracle	TQ☆	9.3
AI[UE]OON	MYUKKE.	9.4
Astral tale	Noah	9.4
Auxesia	ginkiha	9.4
Iconoclast	Yamajet	9.4
LunarOrbit -believe in the Espebranch road-	Apo11o program ft. 大瀬良あい	9.4
Your voice so... feat. Such	PSYQUI	9.4
Be There	PSYQUI	9.5
Black Territory	DJ Myosuke	9.5
Blaster	Massive New Krew	9.5
DataErr0r	Lunatic Sounds	9.5
Impure Bird	MIssionary	9.5
Lethaeus	Silentroom	9.5
Lost Civilization	Laur vs CK	9.5
Specta	Junk	9.5
Syro	Mitomoro	9.5
VECTOЯ	WHITEFISTS	9.5
A Wandering Melody of Love	からとP⍺ոchii少年 feat.はるの	9.6
carmine:scythe	かゆき	9.6
CROSS†SOUL	HyuN feat. Syepias	9.6
Heavenly caress	Noah	9.6
Linear Accelerator	THE SHAFT	9.6
OMAKENO Stroke	t+pazolite	9.6
Vindication	Laur	9.6
Yosakura Fubuki	A.SAKA	9.6
Corruption	3R2	9.7
Dreadnought	Mastermind (xi + nora2r)	9.7
DX Choseinou Full Metal Shojo	IOSYS TRAX (uno with.ちよこ)	9.7
Filament	Puru	9.7
Ignotus	ak+q	9.7
Monochrome Princess	polysha	9.7
Quon	Feryquitous	9.7
Red and Blue	Silentroom	9.7
SUPERNOVA	BACO	9.7
The Message	Jun Kuroda	9.7
Avant Raze	Sampling Masters MEGA	9.8
Cybernecia Catharsis	Tanchiky	9.8
Dreamin' Attraction!!	翡乃イスカ	9.8
Fallensquare	Silentroom	9.8
Illegal Paradise	gmtn. (witch's slave)	9.8
Memory Forest	ETIA.	9.8
Nhelv	Silentroom	9.8
Party Vinyl	モリモリあつし	9.8
Sulfur	ぺのれり	9.8
Alexandrite	WAiKURO	9.9
Mirzam	Aoi vs. siqlo	9.9
SOUNDWiTCH	HATE	9.9
Heavensdoor	LeaF	10.0
Modelista	HiTECH NINJA	10.0
trappola bewitching	gmtn.	10.0
Vicious Heroism	Kobaryo	10.0
Level 9+
PRAGMATISM	Laur	10.1
conflict	siromaru + cranky	10.2
Ether Strike	Akira Complex	10.2
Garakuta Doll Play	t+pazolite	10.3
Metallic Punisher	INNOCENT NOIZE	10.3
Nirv lucE	しーけー	10.3
Scarlet Lance	MASAKI (ZUNTATA)	10.3
Ikazuchi	光吉猛修	10.4
Singularity	ETIA.	10.4
cyanine	jioyi	10.5
GLORY：ROAD	uma vs. モリモリあつし	10.5
Tiferet	xi + Sta	10.5
Valhalla:0	Juggernaut.	10.5
αterlβus	Aoi	10.5
γuarδina	Aoi	10.5
Axium Crisis	ak+q	10.6
ouroboros -twin stroke of the end-	Cranky VS MASAKI	10.6
Sheriruth	Team Grimoire	10.6
World Vanquisher	void (Mournfinale)	10.6
Halcyon	xi	10.7
Ringed Genesis	Edelritter	10.7
Cyaegha	USAO	10.8
Level 10
Fracture Ray	Sakuzyo	11.1
Grievous Lady	Team Grimoire vs Laur	11.2
